epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
73,275829,0.26452,0.49875,0.99254,0.8635,0.91403,0.95178,0.90268,0.31986,0.48377,0.81814,0.000236844,0.000236844,0.000236844
74,278205,0.25826,0.49712,0.98698,0.87326,0.90412,0.9524,0.89647,0.31332,0.4749,0.82279,0.000222063,0.000222063,0.000222063
75,280653,0.26022,0.57261,0.98317,0.84327,0.93665,0.9555,0.9015,0.34209,0.45325,0.83643,0.000207686,0.000207686,0.000207686
76,283123,0.26125,0.48072,0.98977,0.86814,0.91855,0.95354,0.89423,0.33673,0.46195,0.83245,0.000193728,0.000193728,0.000193728
77,285589,0.24504,0.59195,0.97071,0.87404,0.91059,0.95794,0.89767,0.32644,0.45539,0.82609,0.000180201,0.000180201,0.000180201
78,288055,0.26039,0.48476,0.98364,0.87044,0.9276,0.95801,0.90269,0.30535,0.45134,0.80757,0.000167119,0.000167119,0.000167119
79,290521,0.26633,0.46718,0.99133,0.88609,0.91518,0.95911,0.89936,0.33069,0.44296,0.83646,0.000154495,0.000154495,0.000154495
80,292991,0.25138,0.4567,0.98375,0.86758,0.91901,0.95932,0.90441,0.3126,0.44533,0.81803,0.000142342,0.000142342,0.000142342
81,295473,0.24327,0.62207,0.96796,0.87273,0.93665,0.96257,0.9004,0.327,0.46667,0.81983,0.000130671,0.000130671,0.000130671
82,298290,0.24306,0.45347,0.98371,0.87705,0.93665,0.96099,0.91083,0.29946,0.43529,0.79815,0.000119494,0.000119494,0.000119494
83,300970,0.2454,0.44887,0.97733,0.88198,0.94681,0.96085,0.9027,0.31267,0.44343,0.80636,0.000108822,0.000108822,0.000108822
84,303528,0.23875,0.46498,0.9733,0.88024,0.9276,0.95926,0.90917,0.29805,0.42666,0.80024,9.86659e-05,9.86659e-05,9.86659e-05
85,306095,0.25216,0.46504,0.97624,0.91361,0.90498,0.9596,0.91127,0.29368,0.44395,0.79679,8.90352e-05,8.90352e-05,8.90352e-05
86,308661,0.24126,0.43884,0.97731,0.91035,0.91893,0.96086,0.91271,0.3045,0.41592,0.80216,7.99397e-05,7.99397e-05,7.99397e-05
87,311347,0.24528,0.4402,0.97931,0.89019,0.91703,0.95927,0.9075,0.30426,0.43347,0.80062,7.13883e-05,7.13883e-05,7.13883e-05
88,315271,0.27637,0.46172,1.00416,0.9127,0.89882,0.96201,0.90596,0.30547,0.43696,0.80433,6.33893e-05,6.33893e-05,6.33893e-05
89,324327,0.2419,0.44137,0.98326,0.90799,0.90045,0.96141,0.90957,0.30741,0.43119,0.80488,5.59508e-05,5.59508e-05,5.59508e-05
90,326961,0.24825,0.4586,0.96571,0.9011,0.91855,0.96214,0.91284,0.29998,0.42671,0.80237,4.908e-05,4.908e-05,4.908e-05
91,339159,0.20483,0.55156,0.99236,0.89131,0.88688,0.95319,0.90205,0.3039,0.47447,0.82546,4.27838e-05,4.27838e-05,4.27838e-05
92,345482,0.18765,0.39455,0.97116,0.8769,0.90253,0.95545,0.906,0.30137,0.47511,0.81824,3.70683e-05,3.70683e-05,3.70683e-05
93,348341,0.18635,0.36262,0.97801,0.89671,0.90498,0.958,0.90677,0.31269,0.47218,0.82597,3.19392e-05,3.19392e-05,3.19392e-05
94,351104,0.18254,0.33659,0.98095,0.88741,0.91855,0.95914,0.90658,0.31419,0.45536,0.82523,2.74015e-05,2.74015e-05,2.74015e-05
95,354005,0.18752,0.33781,0.97476,0.91656,0.88235,0.95971,0.90769,0.30587,0.45593,0.81506,2.34598e-05,2.34598e-05,2.34598e-05
96,357022,0.18346,0.32994,0.96943,0.90275,0.88209,0.95451,0.90607,0.31412,0.45,0.81899,2.01178e-05,2.01178e-05,2.01178e-05
97,360277,0.18943,0.34372,0.98236,0.90373,0.8914,0.9551,0.90522,0.3131,0.44577,0.82014,1.7379e-05,1.7379e-05,1.7379e-05
98,363459,0.18296,0.3278,0.95796,0.92397,0.88235,0.9554,0.90824,0.31264,0.44263,0.81665,1.5246e-05,1.5246e-05,1.5246e-05
99,366557,0.18089,0.31219,0.96615,0.92364,0.87567,0.95693,0.90795,0.31468,0.4521,0.81796,1.3721e-05,1.3721e-05,1.3721e-05
100,369243,0.17542,0.32196,0.95667,0.92409,0.88235,0.95681,0.90743,0.30816,0.44763,0.81339,1.28053e-05,1.28053e-05,1.28053e-05
