retailer,source_scope,brand,product_name,category,price,sale_price,original_price,rating,review_count,barcode,product_id,sku_id,product_url,image_url,source_url,captured_utc_date
StyleKorean,PDF brand list,Numbuzin,No.5+ Vitamin Concentrated Serum,treatment,,,,,,,,,https://www.stylekorean.com/search/Numbuzin%20No.5+%20Vitamin%20Concentrated%20Serum,,/Users/ahmedhassan/Downloads/korean.pdf,2026-06-14
StyleKorean,PDF brand list,Numbuzin,No.9 NAD Bio Lifting Essence,skincare,,,,,,,,,https://www.stylekorean.com/search/Numbuzin%20No.9%20NAD%20Bio%20Lifting%20Essence,,/Users/ahmedhassan/Downloads/korean.pdf,2026-06-14
StyleKorean,PDF brand list,Beauty of Joseon,Relief Sun : Rice + Probiotics SPF50+,sunscreen,,,,,,,,,https://www.stylekorean.com/search/Beauty%20of%20Joseon%20Relief%20Sun%20:%20Rice%20+%20Probiotics%20SPF50+,,/Users/ahmedhassan/Downloads/korean.pdf,2026-06-14
StyleKorean,PDF brand list,Beauty of Joseon,Dynasty Cream,moisturizer,,,,,,,,,https://www.stylekorean.com/search/Beauty%20of%20Joseon%20Dynasty%20Cream,,/Users/ahmedhassan/Downloads/korean.pdf,2026-06-14
StyleKorean,PDF brand list,Beauty of Joseon,Revive Eye Serum : Ginseng + Retinal,treatment,,,,,,,,,https://www.stylekorean.com/search/Beauty%20of%20Joseon%20Revive%20Eye%20Serum%20:%20Ginseng%20+%20Retinal,,/Users/ahmedhassan/Downloads/korean.pdf,2026-06-14
StyleKorean,PDF brand list,Beauty of Joseon,Glow Serum : Propolis + Niacinamide,treatment,,,,,,,,,https://www.stylekorean.com/search/Beauty%20of%20Joseon%20Glow%20Serum%20:%20Propolis%20+%20Niacinamide,,/Users/ahmedhassan/Downloads/korean.pdf,2026-06-14
StyleKorean,PDF brand list,Medicube,Collagen PDRN Pink Peptide Serum,treatment,,,,,,,,,https://www.stylekorean.com/search/Medicube%20Collagen%20PDRN%20Pink%20Peptide%20Serum,,/Users/ahmedhassan/Downloads/korean.pdf,2026-06-14
StyleKorean,PDF brand list,Medicube,Zero Pore Pads 2.0,toner,,,,,,,,,https://www.stylekorean.com/search/Medicube%20Zero%20Pore%20Pads%202.0,,/Users/ahmedhassan/Downloads/korean.pdf,2026-06-14
StyleKorean,PDF brand list,Medicube,Age-R Booster Pro (Device pairing products),treatment,,,,,,,,,https://www.stylekorean.com/search/Medicube%20Age-R%20Booster%20Pro%20(Device%20pairing%20products),,/Users/ahmedhassan/Downloads/korean.pdf,2026-06-14
StyleKorean,PDF brand list,Medicube,Kojic Turmeric Brightening Body Lotion,moisturizer,,,,,,,,,https://www.stylekorean.com/search/Medicube%20Kojic%20Turmeric%20Brightening%20Body%20Lotion,,/Users/ahmedhassan/Downloads/korean.pdf,2026-06-14
StyleKorean,PDF brand list,Aestura,Atobarrier 365 Cream (utilizing patented DermaON lipid capsules),moisturizer,,,,,,,,,https://www.stylekorean.com/search/Aestura%20Atobarrier%20365%20Cream%20(utilizing%20patented%20DermaON%20lipid%20capsules),,/Users/ahmedhassan/Downloads/korean.pdf,2026-06-14
StyleKorean,PDF brand list,Aestura,Atobarrier 365 Lotion,moisturizer,,,,,,,,,https://www.stylekorean.com/search/Aestura%20Atobarrier%20365%20Lotion,,/Users/ahmedhassan/Downloads/korean.pdf,2026-06-14
StyleKorean,PDF brand list,Aestura,Theracne 365 Clear Toner,toner,,,,,,,,,https://www.stylekorean.com/search/Aestura%20Theracne%20365%20Clear%20Toner,,/Users/ahmedhassan/Downloads/korean.pdf,2026-06-14
StyleKorean,PDF brand list,Round Lab,Birch Juice Moisturizing Sunscreen SPF50+,sunscreen,,,,,,,,,https://www.stylekorean.com/search/Round%20Lab%20Birch%20Juice%20Moisturizing%20Sunscreen%20SPF50+,,/Users/ahmedhassan/Downloads/korean.pdf,2026-06-14
StyleKorean,PDF brand list,Round Lab,Dokdo Toner (Using deep sea water),toner,,,,,,,,,https://www.stylekorean.com/search/Round%20Lab%20Dokdo%20Toner%20(Using%20deep%20sea%20water),,/Users/ahmedhassan/Downloads/korean.pdf,2026-06-14
StyleKorean,PDF brand list,Round Lab,Soybean Nourishing Cleanser,cleanser,,,,,,,,,https://www.stylekorean.com/search/Round%20Lab%20Soybean%20Nourishing%20Cleanser,,/Users/ahmedhassan/Downloads/korean.pdf,2026-06-14
StyleKorean,PDF brand list,Abib,Heartleaf Essence Calming Pump,skincare,,,,,,,,,https://www.stylekorean.com/search/Abib%20Heartleaf%20Essence%20Calming%20Pump,,/Users/ahmedhassan/Downloads/korean.pdf,2026-06-14
StyleKorean,PDF brand list,Abib,Gummy Sheet Mask Heartleaf Sticker,moisturizer,,,,,,,,,https://www.stylekorean.com/search/Abib%20Gummy%20Sheet%20Mask%20Heartleaf%20Sticker,,/Users/ahmedhassan/Downloads/korean.pdf,2026-06-14
StyleKorean,PDF brand list,Abib,Quick Sunstick Protection Bar SPF50+,sunscreen,,,,,,,,,https://www.stylekorean.com/search/Abib%20Quick%20Sunstick%20Protection%20Bar%20SPF50+,,/Users/ahmedhassan/Downloads/korean.pdf,2026-06-14
StyleKorean,PDF brand list,Abib,PDRN Volume Fill-It Booster,treatment,,,,,,,,,https://www.stylekorean.com/search/Abib%20PDRN%20Volume%20Fill-It%20Booster,,/Users/ahmedhassan/Downloads/korean.pdf,2026-06-14
StyleKorean,PDF brand list,Pyunkang Yul,Essence Toner,toner,,,,,,,,,https://www.stylekorean.com/search/Pyunkang%20Yul%20Essence%20Toner,,/Users/ahmedhassan/Downloads/korean.pdf,2026-06-14
StyleKorean,PDF brand list,Pyunkang Yul,Moisture Cream,moisturizer,,,,,,,,,https://www.stylekorean.com/search/Pyunkang%20Yul%20Moisture%20Cream,,/Users/ahmedhassan/Downloads/korean.pdf,2026-06-14
StyleKorean,PDF brand list,Pyunkang Yul,Ultimate Calming Solution Ampoule,treatment,,,,,,,,,https://www.stylekorean.com/search/Pyunkang%20Yul%20Ultimate%20Calming%20Solution%20Ampoule,,/Users/ahmedhassan/Downloads/korean.pdf,2026-06-14
Sephora US,Skincare category,The Ordinary,Mini Glycolic Acid 7% Exfoliating and Brightening Daily Toner,toner,$9.00,,,,882,,,,,https://www.sephora.com/shop/skincare,2026-06-14,
Sephora US,Skincare category,EADEM,Le Chouchou Exfoliating + Softening Peptide Lip Balm,moisturizer,$24.00,,,,2.5K,,,,,https://www.sephora.com/shop/skincare,2026-06-14,
Sephora US,Skincare category,Biodance,Bio Collagen Real Deep Mask for Pore Minimizing & Firming Care,moisturizer,$5.00 - $19.00,,,,779,,,,,https://www.sephora.com/shop/skincare,2026-06-14,
Sephora US,Skincare category,rhode,Peptide Eye Prep Depuffing Eye Patches,treatment,$25.00,,,,622,,,,,https://www.sephora.com/shop/skincare,2026-06-14,
Sephora US,Skincare category,Dieux,Air Angel Peptide Plumping Gel Cream,moisturizer,$17.60 - $27.20,$17.60 - $27.20,$22.00 - $34.00,,,1.1K,,,,,https://www.sephora.com/shop/skincare?currentPage=2,2026-06-14
Sephora US,Skincare category,innisfree,Vitamin C Niacinamide Brightening Eye Serum for Dark Circles,treatment,$23.00,,,,235,,,,,https://www.sephora.com/shop/skincare?currentPage=2,2026-06-14,
Sephora US,Skincare category,The Ordinary,Azelaic Acid Suspension 10% Cream for Redness and Blemish-Prone Skin,moisturizer,$12.20 - $28.80,,,,1.6K,,,,,https://www.sephora.com/shop/skincare?currentPage=2,2026-06-14,
Sephora US,Skincare category,Dieux,Instant Angel Lipid-Rich Firming Moisturizer,moisturizer,$20.00 - $62.40,$20.00 - $62.40,$25.00 - $78.00,,,2.2K,,,,,https://www.sephora.com/shop/skincare?currentPage=2,2026-06-14
StyleKorean / Silicon2 wholesale,Best Sellers,ANUA,HEARTLEAF QUERCETINOL CLEANSING FOAM 150ml,Cleansing,,,,,,8809640734427,,,,https://stylekoreankbeautywholesale.com/,2026-06-14,
StyleKorean / Silicon2 wholesale,Best Sellers,Medicube,PDRN BOOSTER GEL 300ML,treatment,,,,,,8800256114979,,,,https://stylekoreankbeautywholesale.com/,2026-06-14,
StyleKorean / Silicon2 wholesale,Best Sellers,BIODANCE,REJUVENATING CAVIAR PDRN REAL DEEP MASK 4EA,Mask,,,,,,8809891184613,,,,https://stylekoreankbeautywholesale.com/,2026-06-14,
StyleKorean / Silicon2 wholesale,Best Sellers,Centellian24,Madeca Cream Time Reverse 50ml,moisturizer,,,,,,8806109101257,,,,https://stylekoreankbeautywholesale.com/,2026-06-14,
StyleKorean / Silicon2 wholesale,K-beauty skincare-related categories,celimax,THE REAL NONI CALMING GLOW PAD,Skin Care,,,,,,8809750465464,,,,https://stylekoreankbeautywholesale.com/Product/CategoryProduct?class1=01,2026-06-14,
StyleKorean / Silicon2 wholesale,K-beauty skincare-related categories,celimax,THE -A Retinal Shot Tightening Booster 15ml,Skin Care,,,,,,8809700320812,,,,https://stylekoreankbeautywholesale.com/Product/CategoryProduct?class1=01,2026-06-14,
StyleKorean / Silicon2 wholesale,K-beauty skincare-related categories,celimax,THE VITA-A Retinol Shot Tightening Serum 30ml,Skin Care,,,,,,8809700320805,,,,https://stylekoreankbeautywholesale.com/Product/CategoryProduct?class1=01,2026-06-14,
StyleKorean / Silicon2 wholesale,K-beauty skincare-related categories,celimax,(Renew) NONI ENERGY AMPOULE 30ml,Skin Care,,,,,,8809875907795,,,,https://stylekoreankbeautywholesale.com/Product/CategoryProduct?class1=01,2026-06-14,
StyleKorean / Silicon2 wholesale,K-beauty skincare-related categories,celimax,(Renew) NONI MOISTURE BALANCING TONER 150ml,Skin Care,,,,,,8809954940132,,,,https://stylekoreankbeautywholesale.com/Product/CategoryProduct?class1=01,2026-06-14,
StyleKorean / Silicon2 wholesale,K-beauty skincare-related categories,celimax,(Renew) The Real Noni Starter Kit (3ea),Skin Care,,,,,,8809971482349,,,,https://stylekoreankbeautywholesale.com/Product/CategoryProduct?class1=01,2026-06-14,
StyleKorean / Silicon2 wholesale,K-beauty skincare-related categories,celimax,Ji Woo Gae Cica BHA Blemish Toner Pad (60pads),Skin Care,,,,,,8809783321225,,,,https://stylekoreankbeautywholesale.com/Product/CategoryProduct?class1=01,2026-06-14,
StyleKorean / Silicon2 wholesale,K-beauty skincare-related categories,celimax,(Renew) Dual Barrier Creamy Toner 150ml,Skin Care,,,,,,8809606850475,,,,https://stylekoreankbeautywholesale.com/Product/CategoryProduct?class1=01,2026-06-14,
StyleKorean / Silicon2 wholesale,K-beauty skincare-related categories,celimax,(Renew) Cica Niacinamide AC Calming Serum 40ml,Skin Care,,,,,,8809743544626,,,,https://stylekoreankbeautywholesale.com/Product/CategoryProduct?class1=01,2026-06-14,
StyleKorean / Silicon2 wholesale,K-beauty skincare-related categories,celimax,Pore+Dark Spot Brightening Serum 30ml,Skin Care,,,,,,8809875907412,,,,https://stylekoreankbeautywholesale.com/Product/CategoryProduct?class1=01,2026-06-14,
StyleKorean / Silicon2 wholesale,K-beauty skincare-related categories,celimax,Pore+Dark Spot Brightening Pad (40pads),Skin Care,,,,,,8809743546323,,,,https://stylekoreankbeautywholesale.com/Product/CategoryProduct?class1=01,2026-06-14,
StyleKorean / Silicon2 wholesale,K-beauty skincare-related categories,celimax,The Real Noni Ultimate Eye Cream 20ml,Skin Care,,,,,,8809606850666,,,,https://stylekoreankbeautywholesale.com/Product/CategoryProduct?class1=01,2026-06-14,
